tm_fc,tm_ef,ta_min,ta_max
202301280600,202302060000,-4.0,3.0
202301280600,202302070000,-4.0,3.0
202301281800,202301310000,-4.0,6.0
202301281800,202302010000,1.0,2.0
202301281800,202302020000,-7.0,1.0
202301281800,202302030000,-6.0,1.0
202301281800,202302040000,-4.0,3.0
202301281800,202302050000,-5.0,1.0
202301281800,202302060000,-5.0,2.0
202301281800,202302070000,-4.0,3.0
202301290600,202302010000,1.0,2.0
202301290600,202302020000,-7.0,1.0
202301290600,202302030000,-6.0,1.0
202301290600,202302040000,-4.0,3.0
202301290600,202302050000,-5.0,2.0
202301290600,202302060000,-5.0,2.0
202301290600,202302070000,-4.0,3.0
202301290600,202302080000,-6.0,2.0
202301291800,202302010000,1.0,3.0
202301291800,202302020000,-7.0,1.0
202301291800,202302030000,-6.0,1.0
202301291800,202302040000,-4.0,3.0
202301291800,202302050000,-5.0,2.0
202301291800,202302060000,-5.0,2.0
202301291800,202302070000,-4.0,3.0
202301291800,202302080000,-5.0,3.0
202301300600,202302020000,-7.0,1.0
202301300600,202302030000,-6.0,2.0
202301300600,202302040000,-4.0,4.0
202301300600,202302050000,-5.0,3.0
202301300600,202302060000,-4.0,4.0
202301300600,202302070000,-4.0,3.0
202301300600,202302080000,-5.0,3.0
202301300600,202302090000,-3.0,4.0
202301301800,202302020000,-8.0,1.0
202301301800,202302030000,-6.0,2.0
202301301800,202302040000,-4.0,4.0
202301301800,202302050000,-5.0,4.0
202301301800,202302060000,-4.0,4.0
202301301800,202302070000,-4.0,4.0
202301301800,202302080000,-4.0,4.0
202301301800,202302090000,-3.0,4.0
202301310600,202302030000,-6.0,2.0
202301310600,202302040000,-5.0,5.0
202301310600,202302050000,-3.0,6.0
202301310600,202302060000,-2.0,7.0
202301310600,202302070000,-2.0,6.0
202301310600,202302080000,-2.0,6.0
202301310600,202302090000,-2.0,6.0
202301310600,202302100000,-2.0,7.0
202301311800,202302030000,-6.0,2.0
202301311800,202302040000,-5.0,5.0
202301311800,202302050000,-3.0,6.0
202301311800,202302060000,-2.0,6.0
202301311800,202302070000,-2.0,6.0
202301311800,202302080000,-2.0,6.0
202301311800,202302090000,-2.0,6.0
202301311800,202302100000,-2.0,6.0
202302010600,202302040000,-5.0,5.0
202302010600,202302050000,-4.0,6.0
202302010600,202302060000,-2.0,6.0
202302010600,202302070000,-2.0,7.0
202302010600,202302080000,-2.0,6.0
202302010600,202302090000,-3.0,5.0
202302010600,202302100000,-3.0,6.0
202302010600,202302110000,-3.0,6.0
202302011800,202302040000,-5.0,5.0
202302011800,202302050000,-3.0,6.0
202302011800,202302060000,-1.0,7.0
202302011800,202302070000,0.0,8.0
202302011800,202302080000,-2.0,7.0
202302011800,202302090000,-2.0,6.0
202302011800,202302100000,-2.0,6.0
202302011800,202302110000,-2.0,6.0
202302020600,202302050000,-3.0,6.0
202302020600,202302060000,-1.0,7.0
202302020600,202302070000,0.0,8.0
202302020600,202302080000,-2.0,7.0
202302020600,202302090000,-2.0,6.0
202302020600,202302100000,-2.0,6.0
202302020600,202302110000,-2.0,6.0
202302020600,202302120000,-1.0,7.0
202302021800,202302050000,-4.0,6.0
202302021800,202302060000,-2.0,8.0
